Start,End,Work,Game,Movie,Reading,Browsing,Youtube,Chores,Netflix,Cooking,Social,Teaching,Other...
27-11-14 19:47,27-11-14 22:15,,,,,,,,,,,CSS,
27-11-14 22:15,27-11-14 22:58,,,,,,x,,,,,,
27-11-14 23:04,27-11-14 23:10,Data Visualization,,,,,,,,,,,
28-11-14 18:42,28-11-14 19:03,,,,,,,,,x,,,
28-11-14 19:03,28-11-14 20:06,,,,,,x,,,,,,
28-11-14 20:07,29-11-14 00:45,Data Visualization,,,,,,,,,,,
29-11-14 10:19,29-11-14 10:34,,,,,,,x,,,,,
29-11-14 10:34,29-11-14 12:26,,GW2,,,,,,,,,,
29-11-14 12:26,29-11-14 12:34,,,,,,,x,,,,,
29-11-14 12:34,29-11-14 12:49,,,,,,x,,,,,,
29-11-14 12:49,29-11-14 13:45,,,,,,,x,,,,,
29-11-14 14:27,29-11-14 14:29,,,,,,,,,,x,,
29-11-14 14:29,29-11-14 14:59,Yetiland,,,,,,,,,,,
29-11-14 14:59,29-11-14 21:17,,,,,,,,,,x,,
29-11-14 21:17,29-11-14 21:42,,,,,,x,,,,,,
29-11-14 21:42,29-11-14 22:00,,,,,x,,,,,,,
29-11-14 22:00,30-11-14 22:29,Data Visualization,,,,,,,,,,,
30-11-14 22:29,30-11-14 00:41,,,,,,,,,,x,,
30-11-14 00:42,30-11-14 00:52,Data Visualization,,,,,,,,,,,
30-11-14 00:52,30-11-14 01:26,,,,,,x,,,,,,
30-11-14 01:26,30-11-14 02:49,,GW2,,,,,,,,,,
30-11-14 11:34,30-11-14 12:00,,,,,,,x,,,,,
30-11-14 12:00,30-11-14 13:37,Data Visualization,,,,,,,,,,,
30-11-14 13:45,30-11-14 13:47,,,,,x,,,,,,,
30-11-14 14:07,30-11-14 14:31,,,,,,Dota 2,,,,,,
30-11-14 14:31,30-11-14 15:32,Data Visualization,,,,,,,,,,,
30-11-14 15:33,30-11-14 16:07,,,,,,,x,,,,,
30-11-14 16:07,30-11-14 16:34,,,,,,,,x,,,,
30-11-14 16:34,30-11-14 17:24,Data Visualization,,,,,,,,,,,
